Spell Lists																																							Spell Properties														Books				Free PDFs								
Bard	Cleric	Arcana	City	Death	Knowledge	Life	Light	Nature	Tempest	Trickery	War	Druid	Arctic	Coast	Desert	Forest	Grassland	Mountain	Swamp	Underdark	Paladin	Ancients	Crown	Devotion	Oathbreaker	Vengeance	Ranger	DStalker	Sorcerer	Storm	Warlock	Archfey	Fiend	GitM	GOO	Undying	ULight	Wizard	Spell	SRD Spell Name (where different)	Level	School	Techno	Ritual	Casting Time	Range	V	S	M	GP	Conc	Duration	PHB	SSR	POA	SCAG	Basic	SRD	HDQ	ROT	EEC	POA	DDEN2	DDEX2	UA
																													1									1	Acid Splash		0	Conjuration	0	0	1 action	60 feet	1	1	0		0	Instantaneous	211				83	114							
1																													1		1							1	Blade Ward		0	Abjuration	0	0	1 action	Self	1	1	0		0	1 round	218									40			
																													1		1							1	Booming Blade		0	Evocation	0	0	1 action	5 feet	1	0	1	0	0	1 round				142									
																													1		1							1	Chill Touch		0	Necromancy	0	0	1 action	120 feet	1	1	0		0	1 round	221					124				41			
												1																	1									1	Control Flames		0	Transmutation	0	0	1 action	60 feet	0	1	0		0	Instantaneous or 1 hour			234						16				
												1																	1		1							1	Create Bonfire		0	Conjuration	0	0	1 action	60 feet	1	1	0		1	Up to 1 minute			234						16				
1																													1									1	Dancing Lights		0	Evocation	0	0	1 action	120 feet	1	1	1	0	1	Up to 1 minute	230	25			86	132							
												1																											Druidcraft		0	Transmutation	0	0	1 action	30 feet	1	1	0		0	Instantaneous	236						25			45			
																															1								Eldritch Blast		0	Evocation	0	0	1 action	120 feet	1	1	0		0	Instantaneous	237									45			
																													1									1	Fire Bolt		0	Evocation	0	0	1 action	120 feet	1	1	0		0	Instantaneous	242				90								
1																													1		1							1	Friends		0	Enchantment	0	0	1 action	Self	0	1	1	0	1	Up to 1 minute	244									47			
												1																	1		1							1	Frostbite		0	Evocation	0	0	1 action	60 feet	1	1	0		0	Instantaneous			236						18				
																													1		1							1	Green-Flame Blade		0	Evocation	0	0	1 action	5 feet	1	0	1	0	0	Instantaneous				143									
	1											1																											Guidance		0	Divination	0	0	1 action	Touch	1	1	0		1	Up to 1 minute	248	26			92	149							
												1																	1									1	Gust		0	Transmutation	0	0	1 action	30 feet	1	1	0		0	Instantaneous			236						19		50		
1	1																												1									1	Light		0	Evocation	0	0	1 action	Touch	1	0	1	0	0	1 hour	255	27			95	156							
																													1		1							1	Lightning Lure		0	Evocation	0	0	1 action	15 feet	1	0	0		0	Instantaneous				143									
1																													1		1							1	Mage Hand		0	Conjuration	0	0	1 action	30 feet	1	1	0		0	1 minute	256	28			96	157							
												1																			1								Magic Stone		0	Transmutation	0	0	1 bonus action	Touch	1	1	0		0	1 minute			238						20				
1	1											1																	1									1	Mending		0	Transmutation	0	0	1 minute	Touch	1	1	1	0	0	Instantaneous	259					161				50			
1																													1									1	Message		0	Transmutation	0	0	1 action	120 feet	1	1	1	0	0	1 round	259					161				50			
1																													1		1							1	Minor Illusion		0	Illusion	0	0	1 action	30 feet	0	1	1	0	0	1 minute	260				97	162							
												1																	1									1	Mold Earth		0	Transmutation	0	0	1 action	30 feet	0	1	0		0	Instantaneous or 1 hour			238						21		48		
																																							On/Off		0	Transmutation	1	0	1 action	60 feet	1	1	0		0	Instantaneous													7:7
												1																	1		1							1	Poison Spray		0	Conjuration	0	0	1 action	10 feet	1	1	0		0	Instantaneous	266				98								
1																													1		1							1	Prestidigitation		0	Transmutation	0	0	1 action	10 feet	1	1	0		0	Up to 1 hour	267	28			99	167							
												1																											Produce Flame		0	Conjuration	0	0	1 action	Self	1	1	0		0	10 minutes	269					169				52			
																													1									1	Ray of Frost		0	Evocation	0	0	1 action	60 feet	1	1	0		0	Instantaneous	271	28			99	171							
	1											1																											Resistance		0	Abjuration	0	0	1 action	Touch	1	1	1	0	1	Up to 1 minute	272	29			99	172							
	1																																						Sacred Flame		0	Evocation	0	0	1 action	60 feet	1	1	0		0	Instantaneous	272	29			100	173							
												1																	1									1	Shape Water		0	Transmutation	0	0	1 action	30 feet	0	1	0		0	Instantaneous or 1 hour			239						21		53		
												1																											Shillelagh		0	Transmutation	0	0	1 bonus action	Touch	1	1	1	0	0	1 minute	275					176				53			
																													1									1	Shocking Grasp		0	Evocation	0	0	1 action	Touch	1	1	0		0	Instantaneous	275	29			101	176							
	1																																						Spare the Dying		0	Necromancy	0	0	1 action	Touch	1	1	0		0	Instantaneous	277				101								
																													1		1							1	Sword Burst		0	Conjuration	0	0	1 action	5 feet	1	0	0		0	Instantaneous				143									
	1																																						Thaumaturgy		0	Transmutation	0	0	1 action	30 feet	1	0	0		0	Up to 1 minute	282	30			103	184							
												1																											Thorn Whip		0	Transmutation	0	0	1 action	30 feet	1	1	1	0	0	Instantaneous	282									54			
1												1																	1		1							1	Thunderclap		0	Evocation	0	0	1 action	Self (5-foot radius)	0	1	0		0	Instantaneous			240						22				
1																													1		1							1	True Strike		0	Divination	0	0	1 action	30 feet	0	1	0		1	Up to 1 round	284					186							
1																																							Vicious Mockery		0	Enchantment	0	0	1 action	60 feet	1	0	0		0	Instantaneous	285									55			
												1															1											1	Absorb Elements		1	Abjuration	0	0	1 reaction	Self	0	1	0		0	1 round			233						15				
																											1											1	Alarm		1	Abjuration	0	1	1 minute	30 feet	1	1	1	0	0	8 hours	211					114				39			
